title,authors,average_rating,language_code,num_pages,ratings_count,publication_date
Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Mike   Mason,3.58,eng,256,173,6/7/2006
Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,3.95,en-US,288,253,6/1/2005
Trump: The Art of the Deal,Donald J. Trump/Tony Schwartz,3.66,en-US,384,12748,12/28/2004
The Richest Man in Babylon,George S. Clason,4.26,eng,4,86,6/17/2005
Shibumi,Trevanian/Gisela Stege,4.21,eng,480,9498,5/10/2005
1776,Peter  Stone/Sherman Edwards,4.22,eng,192,1299,11/18/1976
The Crescent Obscured: The United States and the Muslim World  1776-1815,Robert J. Allison,3.62,eng,284,31,7/15/2000
The Good Earth (House of Earth  #1),Pearl S. Buck,3.98,eng,418,200744,3/4/2009
Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,3.93,eng,5,26,3/15/2005
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,3.74,eng,399,190039,7/5/2005
Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser,3.74,eng,384,811,4/4/2002
Snow Flower and the Secret Fan,Lisa See,4.07,eng,269,297533,2/21/2006
The Broker,John Grisham,3.78,eng,422,72361,9/26/2006
The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,4.51,eng,1344,11208,7/12/1975
The Power Broker: A Novel (Christian Gillette  #3),Stephen W. Frey,3.75,eng,320,28,7/25/2006
Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips/Michael D'Orso,3.74,en-US,201,3877,6/10/1999
Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Pamela Peeke/Cindy Crawford,3.65,en-US,288,401,4/1/2005
Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Bill Phillips,3.95,eng,405,814,11/26/2003
The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher,4.13,en-US,245,228,10/1/2005
The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne,4.07,eng,432,39,4/18/2003
Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry,3.15,eng,368,26,5/15/2005
Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),Barbara Park/Denise Brunkus,3.99,en-US,68,11178,2/16/1993
Monkey Business,Sarah Mlynowski,3.67,eng,392,3379,9/24/2004
Liar's Poker,Michael   Lewis,4.15,eng,256,22843,10/1/1990
Liar's Poker: A Harry Garnish Mystery,Frank McConnell,3.31,eng,214,13,6/1/1993
Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Ursula Ferrigno/Jason Lowe/Maxine  Clark,4.08,eng,64,8,3/1/2001
Giada's Family Dinners,Giada De Laurentiis/Victoria Pearson,3.96,eng,256,14103,4/4/2006
Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,3.95,eng,256,40125,2/22/2005
Everyday Pasta,Giada De Laurentiis/Victoria Pearson,4.09,eng,240,8822,4/3/2007
Tyler's Ultimate: Brilliant Simple Food to Make Any Time,Tyler Florence/Petrina Tinslay,4.09,eng,256,3697,9/26/2006
Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay,4.06,eng,304,1426,3/25/2003
Eat This Book: Cooking with Global Fresh Flavors,Tyler Florence/Petrina Tinslay,3.92,eng,287,275,10/1/2004
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,3.97,en-US,496,98,12/8/2006
The Last Assassin (John Rain  #5),Barry Eisler,4.27,eng,338,189,6/1/2006
Life of Pi,Yann Martel,3.91,en-US,401,4318,5/3/2004
L'Histoire de Pi,Yann Martel/Nicole Martel/Emile Martel,3.91,fre,448,177,11/24/2005
Shadows and Wind: A View of Modern Vietnam,Robert Templer,3.49,eng,400,102,9/1/1999
A Million Little Pieces,James Frey,3.65,eng,515,206011,9/22/2005
A Million Little Pieces of Feces,Python Bonkers,3.56,en-US,256,43,2/10/2006
A Million Little Lies,James Pinocchio/Pablo Fenjves,3.41,en-US,191,201,3/28/2006
The Leadership Challenge,James M. Kouzes/Barry Z. Posner,4.05,en-US,458,873,8/7/2003
Lincoln on Leadership: Executive Strategies for Tough Times,Donald T. Phillips,4.14,eng,193,5354,2/1/1993
Leadership in Organizations,Gary Yukl,3.68,en-GB,542,55,7/7/2005
Leadership,Rudolph W. Giuliani,3.72,eng,397,1820,10/1/2002
Men Are from Mars  Women Are from Venus,John Gray,3.55,eng,2,43,4/3/2007
Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships,John Gray,3.62,en-US,368,18,10/21/1998
How to Succeed with Women,Ron  Louis/David Copeland,3.76,en-US,320,82,10/29/1998
The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,4.05,eng,468,495,5/4/1980
Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,4.26,eng,317,85094,3/17/2004
Juiced Official Strategy Guide,Doug Walsh,0.0,eng,112,0,6/1/2005
The 48 Laws of Power,Robert Greene/Joost Elffers,4.18,eng,452,60946,9/1/2000
Gates of Fire,Steven Pressfield,4.42,eng,392,21934,9/27/2005
Fire Sea (The Death Gate Cycle  #3),Margaret Weis/Tracy Hickman,4.07,eng,414,16312,3/1/1992
The Gate of Fire (Oath Of Empire Book Two),Thomas Harlan,3.58,en-US,721,146,6/18/2001
The Afghan Campaign,Steven Pressfield,3.96,eng,354,3002,7/1/2006
Tides of War,Steven Pressfield,3.9,eng,448,3422,8/28/2001
Last of the Amazons,Steven Pressfield,3.76,eng,400,2138,7/1/2003
The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield/Robert McKee,4.0,eng,168,53653,4/1/2003
Gita on the Green,Stephen J. Rosen/Steven Pressfield,3.78,en-US,176,14,5/30/2002
Blood Stripes: The Grunt's View of the War in Iraq,David J. Danelo/Steven Pressfield,3.91,eng,340,85,4/24/2006
Phaedrus and Letters VII and VIII,Plato/Walter Hamilton,4.1,en-US,160,226,1/30/1973
Phaedrus,Plato/C.J. Rowe,3.92,eng,176,236,8/25/2005
Lysis/Phaedrus/Symposium: Plato on Homosexuality,Plato/Benjamin Jowett,4.47,eng,157,14,12/1/1991
Enthusiasm and Divine Madness,Josef Pieper/Richard Winston/Clara Winston,4.5,eng,125,26,2/11/2019
On Love: Lysis/Symposium/Phaedrus/Alcibiades/Selections from Republic & Laws,Plato/C.D.C. Reeve,4.06,eng,272,154,6/15/2006
Gorgias/Phaedrus (Agora),Plato/James H. Nichols Jr.,4.35,eng,233,18,9/1/1998
Statesman,Plato/C.J. Rowe,3.85,eng,128,28,3/15/1999
Gorgias,Plato/Walter Hamilton/Chris Emlyn-Jones,3.95,en-GB,208,8186,1/29/2004
The History (Great Minds),Herodotus/Henry Francis Cary,3.99,en-US,613,2,11/1/1992
The Histories,Herodotus/Edward Henry Blakeney/George Rawlinson/Rosalind Thomas,3.99,en-US,816,132,3/25/1997
The History,Herodotus/Peter Grene,3.99,en-US,710,36,3/14/1987
The Iliad,Homer/Robert Fitzgerald,3.86,eng,594,30,3/19/1992
Iliad,Homer/Stanley Lombardo/Sheila Murnaghan,3.86,en-US,574,1058,3/12/1997
The Iliad/The Odyssey,Homer/Robert Fagles/Bernard Knox,4.04,eng,1556,54939,11/1/1999
The Essential Iliad,Homer/Sheila Murnaghan/Stanley Lombardo,3.86,en-US,216,212,9/15/2000
The Odyssey,Homer/W.H.D. Rouse,3.76,eng,304,262,8/1/1999
Aeneid: Selections from Books 1  2  4  6  10  12,Virgil/Barbara Weiden Boyd,4.35,eng,161,69,1/1/2001
Eclogues. Georgics. Aeneid: Books 1-6,Virgil/Henry Rushton Fairclough/G.P. Goold,4.22,mul,607,414,10/1/1999
City Eclogue,Ed Roberson,4.13,eng,136,67,1/30/2006
The Eclogues and The Georgics,Virgil/Cecil Day-Lewis,3.8,eng,180,259,9/2/1999
Paul Kirk's Championship Barbecue Sauces: 175 Make-Your-Own Sauces  Marinades  Dry Rubs  Wet Rubs  Mops and Salsas,Paul  Kirk,3.94,eng,272,55,12/3/1997
The Complete Pelican Shakespeare,William Shakespeare/Stephen Orgel/A.R. Braunmuller,4.5,eng,1808,578,11/7/2002
The Complete Works,William Shakespeare,4.5,eng,1248,62,10/13/1991
Hamlet,William Shakespeare/Stephen Orgel/A.R. Braunmuller,4.02,eng,148,1658,12/1/2001
The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company/Adam Long/Daniel Singer/Jess Winfield,4.44,eng,137,8159,2/1/1994
The Pilgrimage: A Contemporary Quest for Ancient Wisdom,Paulo Coelho/Alan R. Clarke,3.64,en-US,272,888,5/1/1995
The Valkyries,Paulo Coelho/Alan R. Clarke,3.31,en-US,212,1204,9/28/1996
Warrior of the Light,Paulo Coelho,3.7,en-US,142,22662,3/30/2004
The Zahir,Paulo Coelho/Margaret Jull Costa,3.57,eng,336,58917,7/3/2006
By the River Piedra I Sat Down and Wept,Paulo Coelho/Alan R. Clarke,3.57,eng,208,70760,5/23/2006
The Fifth Mountain,Paulo Coelho/Clifford E. Landers,3.62,en-US,256,1415,4/26/2000
Cliffs Notes on Shakespeare's Hamlet,Carla Lynn Stockton,3.69,en-US,129,65,5/30/2000
Shakespeare's Hamlet,William Shakespeare/Terri Mategrano,4.02,eng,240,102,5/29/2000
Hamlet's Mill: An Essay Investigating the Origins of Human Knowledge and Its Transmission Through Myth,Giorgio De Santillana/Hertha Von Dechend,4.29,eng,450,489,3/24/2015
History of the Peloponnesian War: Bk. 1-2,Thucydides/C.F. Smith,4.32,mul,496,208,1/1/1919
On Justice  Power and Human Nature: Selections from The History of the Peloponnesian War,Thucydides/Paul Woodruff,3.72,eng,172,610,10/1/1993
History of the Peloponnesian War: Bk. 5-6,Thucydides/C.F. Smith,4.35,mul,400,38,1/1/1921
The Peloponnesian War,Thucydides/Steven Lattimore,3.9,eng,530,154,6/1/1998
The Peloponnesian War: A New Translation  Backgrounds  Interpretations,Thucydides/Jennifer Tolbert Roberts/Walter Blanco,3.9,eng,554,24,7/17/1998
History of the Peloponnesian War  Bk. 7-8,Thucydides/C.F. Smith,4.29,eng,480,35,1/1/1923
Thucydides  Book 6 Commentary,Cynthia W. Shelmerdine,4.5,eng,34,2,1/30/1989
Euripides I: Alcestis / The Medea / The Heracleidae / Hippolytus,Euripides/Richmond Lattimore/David Grene/Rex Warner/Ralph Gladstone,4.03,eng,221,4483,2/15/1955
Euripides V: Electra / The Phoenician Women / The Bacchae,Euripides/David Grene/Richmond Lattimore/Emily Townsend Vermeule/Elizabeth Wyckoff/William Arrowsmith,4.21,eng,228,3334,1/15/1969
Euripides IV: Rhesus / The Suppliant Women / Orestes / Iphigenia in Aulis,Euripides/David Grene/Richmond Lattimore/William Arrowsmith/Frank William Jones/Charles R. Walker,4.21,eng,307,560,11/15/1968
Grief Lessons: Four Plays by Euripides,Anne Carson/Euripides,4.4,eng,312,679,8/1/2006
Ten Plays,Euripides/Moses Hadas/John Maclean,4.17,en-US,432,1464,8/1/1990
Euripides III: Hecuba / Andromache / The Trojan Women / Ion (Complete Greek Tragedies  #7),Euripides/David Grene/Richmond Lattimore/William Arrowsmith/John Frederick Nims/Ronald Frederick Willetts,4.0,eng,255,541,1/15/1992
Euripides II: The Cyclops / Heracles / Iphigenia in Tauris / Helen,Euripides/David Grene/Richmond Lattimore/Witter Bynner/William Arrowsmith,4.31,eng,264,790,4/15/2002
Medea and Other Plays,Euripides/John Davie/Richard Rutherford,4.03,eng,206,9197,3/27/2003
Cyclops / Alcestis / Medea,Euripides/David Kovacs,4.23,mul,432,61,1/1/1994
Medea,Euripides/Georgia Ann Machemer/Michael   Collier,3.87,eng,116,367,8/10/2006
The Bacchae and Other Plays,Euripides/John Davie/Richard Rutherford,4.14,eng,360,164,1/26/2006
Bakkhai,Euripides/Reginald Gibbons/Peter H. Burian,3.88,eng,160,154,2/22/2001
Plays 1: Medea/The Phoenician Women/Bacchae,Euripides/David Thompson/J. Michael Walton,3.78,eng,192,9,11/9/2000
The Trojan Women and Hippolytus,Euripides,3.63,eng,64,34,7/17/2002
The Bacchae of Euripides: A Communion Rite,Wole Soyinka,3.86,eng,128,116,7/17/2004
Orestes and Other Plays,Euripides/James Morwood/Robin Waterfield,4.1,eng,282,158,12/20/2001
Children of Heracles / Hippolytus / Andromache / Hecuba,Euripides/David Kovacs,4.26,mul,528,27,2/15/1995
Alcestis,Euripides/William Arrowsmith,3.83,eng,142,1950,2/1/1990
Suppliant Women / Electra / Heracles,Euripides/David Kovacs,4.47,mul,464,30,9/1/1998
Euripides: Medea,William Allan,4.04,eng,160,23,10/31/2002
CliffsNotes on Euripides' Medea and Electra,Robert J. Milch,4.2,eng,69,5,9/13/1965
Trojan Women / Iphigenia Among the Taurians / Ion,Euripides/David Kovacs,4.03,mul,528,29,12/1/1999
Helen / Phoenician Women / Orestes,Euripides/David Kovacs,4.07,mul,605,25,6/15/2002
Euripides: Iphigenia at Aulis (Companions to Greek & Roman Tragedy),Euripides/Pantelis Michelakis,4.03,eng,144,12,3/9/2006
The Complete Greek Tragedies  Volume 3: Euripides,Euripides/David Grene/Richmond Lattimore,4.43,eng,672,46,8/1/1992
Aeschylus I: Oresteia (Agamemnon  The Libation Bearers  The Eumenides),Aeschylus/David Grene/Richmond Lattimore,4.02,en-US,171,712,5/15/1969
Aeschylus II: The Suppliant Maidens  The Persians  Seven against Thebes  and Prometheus Bound (The Complete Greek Tragedies),Aeschylus/David Grene/Richmond Lattimore/Seth Benardete,4.1,eng,188,389,2/1/1992
The Oresteia,Aeschylus/Ted Hughes,4.02,en-US,208,215,9/4/2004
The Oresteia: Agamemnon  The Libation Bearers  The Eumenides,Aeschylus/Robert Fagles/William Bedell Stanford,4.02,eng,335,28726,2/7/1984
Oresteia,Aeschylus/Peter Meineck/Helene P. Foley,4.02,eng,224,303,9/15/1998
Prometheus Bound and Other Plays,Aeschylus/Philip Vellacott,4.1,eng,160,4303,8/30/1961
Aeschylus  1: The Oresteia: Agamemnon/The Libation Bearers/The Eumenides,Aeschylus/David R. Slavitt/Smith Palmer Bovie,4.02,eng,178,12,11/1/1997
The Complete Greek Tragedies  Volume 1: Aeschylus,Aeschylus/Richmond Lattimore/David Grene,4.1,eng,358,74,8/1/1992
Aeschylus: The Oresteia (A Student Guide: Landmarks of World Literature),Simon Goldhill,4.03,eng,95,31,1/22/2004
The Oresteia: Agamemnon  Choephoroe & Eumenides (Everyman's Library  No. 260),Aeschylus/George Thomson/Richard Seaford,4.02,eng,127,63,1/20/2004
Aeschylus 2: The Persians/Seven Against Thebes/The Suppliants/Prometheus Bound,Aeschylus/David R. Slavitt/Smith Palmer Bovie,4.1,en-GB,232,12,1/1/1998
The Oresteia Trilogy: Agamemnon/The Libation-Bearers/The Furies,Aeschylus/E.D.A. Morshead,4.02,eng,151,89,9/24/1996
The Suppliant Maidens/The Persians/Seven against Thebes/Prometheus Bound,Aeschylus/E.D.A. Morshead,4.1,eng,208,1,6/17/2004
Sophocles II: Ajax/Women of Trachis/Electra/Philoctetes (Complete Greek Tragedies 4),Sophocles/David Grene/Richmond Lattimore/John Moore/Michael Jameson,4.14,eng,254,5032,5/15/1969
The Oedipus Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,Sophocles/Paul Roche,3.97,eng,288,553,5/1/1996
The Complete Plays,Aristophanes/Moses Hadas,4.21,eng,577,1998,3/1/1984
The Oedipus Cycle: Oedipus Rex  Oedipus at Colonus  Antigone,Sophocles/Robert Fitzgerald/Dudley Fitts,3.97,eng,259,45589,11/1/2002
The Three Theban Plays: Antigone  Oedipus the King  Oedipus at Colonus,Sophocles/Robert Fagles/Bernard Knox,3.97,eng,430,2979,1/3/2000
Theban Plays,Sophocles/Peter Meineck/Paul Woodruff,3.97,en-US,304,109,3/15/2003
The Theban Plays (Everyman's Library  #93),Sophocles/David Grene/Charles Segal,3.97,en-US,223,52,10/18/1994
Electra and Other Plays,Sophocles/E.F. Watling,4.14,eng,218,135,4/30/1953
Antigone; Oedipus the Kingn; Electra,Sophocles/Edith Hall/H.D.F. Kitto,3.94,eng,178,13358,9/17/1998
Oedipus Rex  (The Theban Plays  #1),Sophocles/J.E. Thomas,3.7,eng,75,141555,6/22/2006
The Oedipus Plays of Sophocles,Sophocles/Paul Roche,3.97,eng,390,8,9/1/1958
Oedipus Rex (Greek and Latin Classics),Sophocles/Roger D. Dawe,3.7,grc,214,218,8/1/2006
Oedipus the King,Sophocles/Bernard Knox/Cynthia Brantley Johnson,3.7,eng,144,740,7/1/2005
Four Plays: The Clouds/The Birds/Lysistrata/The Frogs,Aristophanes/William Arrowsmith/Richmond Lattimore/Douglass Parker,4.06,eng,624,6086,11/1/1984
Three Plays by Aristophanes: Lysistrata/Women at the Thesmophoria/Assemblywomen,Aristophanes/Jeffrey Henderson,3.94,eng,256,96,8/27/1996
Aristophanes 1: The Acharnians/Peace/Celebrating Ladies/Wealth,Aristophanes/David R. Slavitt,3.83,eng,336,4,1/29/1998
Clouds/Wasps/Birds (Aristophanes 1),Aristophanes/Peter Meineck,3.77,eng,480,1,9/15/1998
Lysistrata and Other Plays,Aristophanes/Alan H. Sommerstein,3.95,en-US,241,3833,1/30/2003
Acharnians,Aristophanes/Jeffrey Henderson,3.42,eng,96,23,5/1/2003
Clouds,Aristophanes/Kenneth James Dover,3.75,eng,254,13,12/15/1969
Clouds/Wasps/Peace,Aristophanes/Jeffrey Henderson,4.07,grc,624,69,12/15/1998
Three Plays: The Wasps / The Poet and the Women / The Frogs,Aristophanes/David B. Barrett,3.94,eng,224,391,2/28/1964
Four Comedies: Lysistrata / The Frogs / The Birds / Ladies' Day,Aristophanes/Dudley Fitts,4.03,eng,400,14,1/6/2003
Frogs/Assemblywomen/Wealth (Loeb Classical Library 180),Aristophanes/Jeffrey Henderson,4.21,grc,608,58,5/1/2002
Cliffs Notes on Aristophanes' Lysistrata  The Birds  The Clouds  The Frogs,W. John Campbell,2.8,eng,80,5,12/29/1983
Aristophanes and Athens: An Introduction to the Plays,Douglas M. MacDowell,4.07,eng,376,14,10/1/1995
Lysistrata,Aristophanes/Jeffrey Henderson,3.85,eng,320,76,6/21/1990
Peace,Aristophanes/S. Douglas Olson,3.6,eng,408,262,2/25/1999
The Knights / Peace / The Birds / The Assembly Women / Wealth,Aristophanes/Alan H. Sommerstein/David B. Barrett/David Brett,3.69,en-US,335,42,7/27/1978
Genres in Dialogue: Plato and the Construct of Philosophy,Andrea Wilson Nightingale,4.33,en-GB,238,5,4/13/2000
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.88,eng,226,1054308,5/18/2004
The Night Gardener,George Pelecanos,3.64,eng,372,4067,8/8/2006
Twelfth Night,William Shakespeare,3.98,eng,272,138101,7/1/2004
Brokeback Mountain,Annie Proulx,3.94,eng,55,24985,12/2/2005
Getting Things Done: The Art of Stress-Free Productivity,David    Allen,3.99,en-GB,267,105507,12/31/2002
Getting Things Done When You Are Not in Charge,Geoffrey M. Bellman,3.46,eng,176,75,8/27/2001
Formas breves,Ricardo Piglia,4.17,spa,144,240,6/1/2001
Money to Burn,Ricardo Piglia/Amanda Hopkinson,3.76,eng,209,69,8/1/2004
Plata quemada,Ricardo Piglia,3.76,spa,227,1098,7/1/2005
American Government: Continuity and Change  Alternate Edition,Karen  O'Connor/Larry J. Sabato,2.83,eng,664,0,3/11/2005
Essentials of American and Texas Government: Continuity and Change,Karen  O'Connor/Larry J. Sabato,3.5,eng,854,0,7/29/2005
The Confessions (Works of Saint Augustine 1),Augustine of Hippo/John E. Rotelle/Maria Boulding,3.92,eng,416,142,12/1/2002
The City of God,Augustine of Hippo/Thomas Merton/Marcus Dods,3.92,eng,905,104,9/12/2000
The Enchiridion on Faith Hope and Love (Augustine Series 1),Augustine of Hippo/Bruce Harbert/John E. Rotelle,4.04,eng,144,271,10/1/1999
Augustine of Hippo: A Biography,Peter R.L. Brown,4.27,en-US,576,1643,11/24/2000
On Christian Doctrine,Augustine of Hippo/D.W. Robertson Jr.,4.03,eng,191,2335,1/11/1958
Confessions  Books 1-13,Augustine of Hippo/Peter R.L. Brown/Frank Sheed,3.92,eng,296,84,1/1/1993
Saint Augustine,Garry Wills,3.55,eng,176,259,8/30/2005
Augustine: A Very Short Introduction,Henry Chadwick,3.71,eng,144,236,6/7/2001
On Genesis/A Refutation of the Manichees/The Unfinished Literal Meaning of Genesis (Works of St Augustine 1),Augustine of Hippo/Boniface Ramsey/Edmund Hill,3.94,eng,540,29,5/1/2004
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,4.07,eng,302,2488,5/1/2001
Confesiones de un chef,Anthony Bourdain,4.07,spa,478,11,2/1/2003
The Metamorphoses of Ovid,Ovid/Allen Mandelbaum,4.05,eng,559,710,4/15/1995
Metamorphoses,Ovid/Bernard Knox/Charles    Martin,4.05,eng,624,30,11/17/2003
Ovid's Metamorphoses: Books 1-5,Ovid/William Scovil Anderson,4.27,eng,584,229,1/15/1998
Latin Via Ovid: A First Course,Norma Goldman/Jacob E. Nyenhuis,4.36,en-US,524,78,9/1/1982
The Art of Love and Other Poems,Ovid/J.H. Mozley/G.P. Goold,4.02,eng,400,98,1/1/1929
The Poems of Exile: Tristia and the Black Sea Letters,Ovid/Peter Green,4.12,eng,451,432,1/18/2005
Metamorphoses: Volume 2  Books IX-XV,Ovid/Frank Justus Miller,4.52,eng,499,61,1/1/1985
Metamorphoses: Volume I  Books I-VIII,Ovid/Frank Justus Miller,4.42,eng,496,813,1/1/1977
Practice! Practice!: A Latin Via Ovid Workbook,Norma Goldman/Michael  Rossi,4.08,eng,152,12,7/1/1995
Tibullus: A Commentary,Michael C.J. Putnam,3.71,eng,222,7,11/15/1979
Dionysiac Poetics and Euripides' Bacchae,Charles Segal,4.62,eng,440,12,11/16/1997
Antigone,Sophocles/Reginald Gibbons/Charles Segal,3.64,eng,208,264,6/5/2003
Object-Oriented Programming in C++,Richard Johnsonbaugh/Martin Kalin,4.07,eng,640,14,8/13/1999
Love  Sex & Tragedy: How the Ancient World Shapes Our Lives,Simon Goldhill,3.79,eng,345,122,11/1/2005
Reading Greek Tragedy,Simon Goldhill,4.12,eng,302,32,8/5/1986
Who Needs Greek? Contests in the Cultural History of Hellenism,Simon Goldhill,3.4,eng,334,10,4/4/2002
Foucault's Virginity: Ancient Erotic Fiction & the History of Sexuality (Stanford Memorial Lecture),Simon Goldhill,3.73,eng,212,10,1/26/1995
2012: The Return of Quetzalcoatl,Daniel Pinchbeck,3.42,en-US,408,1416,5/4/2006
Breaking Open the Head: A Psychedelic Journey Into the Heart of Contemporary Shamanism,Daniel Pinchbeck/Lee Fukui,4.06,en-US,336,2799,8/12/2003
Them: Adventures with Extremists,Jon Ronson,3.95,eng,336,11990,1/7/2003
The Men Who Stare at Goats,Jon Ronson,3.61,eng,259,10679,4/10/2006
Guns  Germs and Steel: The Fates of Human Societies,Jared Diamond,4.03,eng,518,4356,7/11/2005
Caught Inside: A Surfer's Year on the California Coast,Daniel Duane,3.87,eng,256,633,4/10/1997
Into the Wild,Jon Krakauer,3.98,eng,207,800349,1/20/1997
Wild at Heart: Discovering the Secret of a Man's Soul,John Eldredge,3.92,eng,256,55106,4/1/2001
Wild Swans: Three Daughters of China,Jung Chang,4.26,eng,562,73572,8/12/2003
Wild Fire (John Corey  #4),Nelson DeMille,4.01,eng,519,20909,11/6/2006
Born to Be Wild,Catherine Coulter,3.78,eng,354,2456,7/25/2006
The Call of the Wild,Jack London/Avi,3.86,eng,172,274649,1/1/2001
Wild About Books,Judy Sierra/Marc Brown,4.17,eng,40,4541,8/10/2004
In Web Design for Libraries,Charles P. Rubenstein,2.67,eng,196,9,12/1/2006
Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich,3.63,eng,240,168362,5/1/2002
The History of Sexuality 1: An Introduction,Michel Foucault/Robert Hurley,4.04,eng,168,15,10/1/1978
The History of Sexuality  Volume 1: The Will to Knowledge,Michel Foucault/Robert Hurley,4.04,eng,168,313,10/29/1998
The History of Sexuality  Volume 2: The Use of Pleasure,Michel Foucault/Robert Hurley,4.08,eng,304,51,7/30/1998
The Making of Pride and Prejudice,Sue Birtwistle/Sue Conklin/Susie Conklin,4.45,eng,128,4244,9/7/1995
Pride and Prejudice,Jane Austen/Carol Howard,4.26,eng,392,1628,9/20/2004
Pride & Prejudice,Jane Austen/Vivien Jones,4.26,eng,392,1821,9/1/2005
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,4.0,eng,399,7481,7/10/2003
Iceland: Land of the Sagas,David  Roberts/Jon Krakauer,3.71,eng,160,330,10/6/1998
Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,4.17,eng,368,351406,10/19/1999
In the Land of White Death: An Epic Story of Survival in the Siberian Arctic,Valerian Albanov/Jon Krakauer/David  Roberts/Alison Anderson/Валериан Альбанов,4.01,eng,288,1910,9/4/2001
The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,3.68,eng,616,87570,4/18/2006
La Tierra es plana: Breve historia del mundo globalizado del siglo XXI,Thomas L. Friedman,3.68,spa,495,38,1/1/2006
The Avalanche Handbook,David McClung/Peter Schaerer,4.07,eng,342,43,10/12/2006
Avalanche,Arthur J. Roth,3.65,eng,144,273,1/1/1989
Little Women,Louisa May Alcott,4.07,eng,327,83,2/1/2004
Little Women (Little Women  #1),Louisa May Alcott/Scott McKowen,4.07,eng,536,1395,10/1/2004
Little Women  Little Men  Jo's Boys,Louisa May Alcott/Elaine Showalter,4.33,eng,1064,3124,2/17/2005
A Tale of Two Cities,Charles Dickens/Simon Schama,3.84,eng,432,39,3/18/1993
A Tale of Two Cities: Charles Dickens,SparkNotes,4.0,eng,96,10,1/10/2002
Den of Thieves,James B. Stewart,4.16,en-US,592,9718,9/1/1992
Den of Thieves (Cat Royal  #3),Julia Golding,4.21,eng,416,1432,1/31/2007
Charles Dickens: Four Novels:  Great Expectations  Hard Times  A Christmas Carol  and A Tale of Two Cities,Charles Dickens,4.3,en-US,848,32,10/2/1993
Bleak House,Charles Dickens/Mary Gaitskill/Hablot Knight Browne,4.01,eng,887,1235,7/9/2002
David Copperfield,Charles Dickens/Gish Jen,3.99,eng,928,355,2/7/2006
What Jane Austen Ate and Charles Dickens Knew: From Fox Hunting to Whist—the Facts of Daily Life in 19th-Century England,Daniel Pool,3.85,en-US,416,4873,4/21/1994
Charles Dickens,Jane Smiley,3.82,eng,224,552,5/13/2002
Martin Chuzzlewit,Charles Dickens/Patricia Ingham/Hablot Knight Browne,3.83,eng,830,13212,11/25/1999
Why Is Sex Fun? The Evolution of Human Sexuality (Science Masters),Jared Diamond,3.71,eng,176,4532,9/25/1998
The Third Chimpanzee: The Evolution & Future of the Human Animal,Jared Diamond,4.06,eng,407,59,1/1/1992
J.K.Rowling,Colleen Sexton,3.84,eng,112,127,9/1/2005
Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,J.K. Rowling,4.4,eng,240,11515,11/1/2001
J.K. Rowling's Harry Potter Novels: A Reader's Guide,Philip Nel,3.58,eng,96,78,9/26/2001
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,4.57,eng,768,1213,6/23/2006
The Santaroga Barrier,Frank Herbert,3.66,eng,256,1625,9/16/2002
The Dosadi Experiment (ConSentiency Universe  #2),Frank Herbert,3.81,eng,320,6146,9/16/2002
The Eyes of Heisenberg,Frank Herbert,3.43,eng,192,1485,9/16/2002
The Birds (Methuen Drama),Sean O'Brien,2.67,en-GB,96,3,7/22/2002
